idade;sexo;p41aa;p41ab;p41ad;p41ae;p41af;p41ag;p41ah;p41ai;p41aj;p41ak;p41al;p41am;p41an;p41ao;p41ap;p42a;p42b;p42d;p42e;p42f;p42g;p42h;p42i;p42j;p42k;p42l;p42m;p42n;p42o;p42p;p43a;p43b;p43d;p43f;p43g;p43h;p43i;p43j;p43k;p43l;p43m;p43n;p43o;p43p;cor;carro;empreg;maqlav;dvd;banhe;gelad;freezer;comput;lavlou;microon;motocic;secadora;agua;rua;escola;renda;RCLASSE2;INV1p45a;INV1p45b;INV1p45c;INV1p45d;INV1p45e;INV1p45f;INV1p45g;INV1p45h;INV1p45i;INV1p45j;INV1p45k;INV1p45l;INV1p45m;INV1p45n;INV1p45o;INV1p45p;INV1p45q
45;1;1;1;1;1;2;2;2;1;1;2;2;1;2;1;2;5;1;2;1;1;3;0;2;3;0;0;1;0;1;8;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;1;96;1;1;2;1;1;1;96;1;1;96;1;1;5;1;3;5;5;6;4;6;5;6;5;4;4;5;6;2;5;6;5;3
40;2;1;1;1;1;2;2;1;2;1;2;2;2;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;1;96;1;1;1;1;96;1;96;1;96;96;1;1;5;1;4;5;5;5;5;5;5;6;6;5;6;5;5;2;4;5;5;4
45;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;3;2;1;2;2;1;1;1;2;1;1;1;5;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;96;1;1;1;1;1;96;96;1;96;96;1;1;5;1;4;5;5;5;3;5;5;5;5;5;6;5;1;3;3;5;5;6
16;2;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;8;10;6;10;10;10;10;10;10;0;0;10;8;10;0;2;2;1;2;2;2;2;1;2;2;2;2;1;2;1;96;96;1;1;1;1;96;96;96;1;96;96;1;1;5;1;5;5;5;5;5;6;5;6;5;5;5;5;5;1;6;6;5;2
58;2;1;1;2;1;1;1;1;1;2;1;2;1;1;1;1;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;96;1;1;1;1;1;96;96;96;96;96;2;2;5;3;6;5;6;5;5;5;5;5;5;5;5;5;5;5;5;5;5;2
34;1;2;2;2;1;2;2;2;1;2;2;2;1;2;1;2;0;5;0;0;0;0;0;5;0;0;0;5;0;5;0;2;2;2;2;2;2;2;2;2;2;2;2;2;1;3;1;96;1;1;2;1;1;3;96;1;96;96;1;1;5;2;3;5;5;6;4;4;5;2;6;3;5;5;6;1;3;5;4;3
24;1;1;2;1;1;2;1;1;2;1;2;2;2;2;2;2;5;5;6;5;3;3;2;3;0;0;1;6;2;1;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;96;1;96;1;1;96;2;96;1;1;96;1;1;5;1;3;5;4;6;4;2;4;4;5;5;6;5;6;5;5;5;4;4
58;1;1;1;2;2;1;1;1;2;2;1;1;1;2;1;2;0;4;0;0;0;0;3;2;2;0;0;8;2;3;2;2;1;2;2;2;2;2;1;1;1;2;2;2;2;3;96;96;1;1;1;1;1;96;96;1;96;96;1;1;5;97;5;5;5;6;5;2;5;1;5;5;5;5;6;1;5;5;6;1
30;1;1;1;2;1;2;2;2;1;2;2;2;1;1;1;1;4;10;0;5;0;0;0;10;5;0;0;10;5;3;10;2;2;2;2;2;2;2;2;2;2;2;2;2;1;3;1;96;1;96;1;1;1;1;96;1;96;96;1;1;5;1;4;5;6;5;2;5;2;6;5;4;5;5;6;2;4;5;5;4
66;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;4;3;7;3;5;6;5;5;10;5;10;5;6;10;5;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;96;1;96;2;1;1;96;96;1;96;96;1;1;5;1;3;5;6;5;5;2;6;5;5;2;5;5;2;5;2;5;2;2
37;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;4;0;0;2;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;96;96;96;1;1;1;1;96;96;96;1;96;1;1;5;1;5;5;6;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
